name,representative,keywords,category,category_code,collect_news,needs_review
알체라,강민수,ALCHERA,중소기업,sme,True,False
포니이엔티,강민호,포니이엔티,미분류,unknown,True,True
한국능률협회,강석,KMA,협회/공공기관,association,False,False
에스와이코마드,강선영,에스와이코마드,미분류,unknown,True,True
대교,강순천,대교,중견기업,mid,False,False
시니스트,강신래,시니스트,미분류,unknown,True,True
믹스콘엔터테인먼트,강영수,MIXCON ENTERTAINMENT,미분류,unknown,True,True
에쓰핀테크놀로지,강지원,에쓰핀테크놀로지,미분류,unknown,True,True
비브스튜디오스,고광민,VIVE STUDIOS,중소기업,sme,True,False
하남디지털캠프,고명,하남디지털캠프,미분류,unknown,True,True
콘크리에이트,고명미,concreate,미분류,unknown,True,True
위치스,고미아,위치스,미분류,unknown,True,True
케타버스,고욱,케타버스,소기업,small,True,False
비햅틱스,곽기욱,비햅틱스,소기업,small,True,False
유니브이알,곽태진,유니브이알,소기업,small,True,False
포스트미디어,국현규,포스트미디어,미분류,unknown,True,True
앰버린,권기석,AMBERIN,미분류,unknown,True,True
젠스템,권순재,ZENSTEM,미분류,unknown,True,True
LG유플러스,권순홍,"LG 유플러스, LG유플러스",대기업,large,False,False
헉미디어,권오철,헉미디어,미분류,unknown,True,True
아테크넷,권정열,아테크넷,미분류,unknown,True,True
스튜디오메타케이,김광집,스튜디오메타케이,미분류,unknown,True,True
서강대학교,김군주,서강대학교,대학/연구기관,academic,False,False
레디메이드,김기홍,READY MADE,미분류,unknown,True,True
미래시티 글로벌,김동우,미래시티 글로벌,미분류,unknown,True,True
AIX랩,김민균,AIXLAB,미분류,unknown,True,True
이노 법률사무소,김민기,이노 법률사무소,미분류,unknown,True,True
트러스테이,김백선,트러스테이,미분류,unknown,True,True
하나금융TI,김병근,하나금융TI,중견기업,mid,False,False
로코,김수련,LOCO,미분류,unknown,True,True
메타키움,김영수,메타키움,미분류,unknown,True,True
덱스터스튜디오,김욱,"DEXTER STUDIOS, DEXTER studios",중소기업,sme,True,False
엠라인스튜디오,김윤필,MLINE,미분류,unknown,True,True
도도스튜디오,김은진,도도스튜디오,미분류,unknown,True,True
블라우비트,김의선,블라우비트,미분류,unknown,True,True
살린,김재현,살린,미분류,unknown,True,True
SM엔터테인먼트,김종민,SM ENTERTAINMENT GROUP,중견기업,mid,False,False
우신정보시스템,김진영,우신정보시스템,미분류,unknown,True,True
니에프스,김창배,니에프스,미분류,unknown,True,True
대신증권,김태욱,대신증권,대기업,large,False,False
갤럭시코퍼레이션,김현정,GALAXY CORP.,중소기업,sme,True,False
콕스스페이스,김호연,COXSPACE,소기업,small,True,False
스토익엔터테인먼트,김홍석,스토익엔터테인먼트,미분류,unknown,True,True
한국열린사이버대학교,남희양,한국열린사이버대학교,대학/연구기관,academic,False,False
MBC,노시용,Munhwa Broadcasting Corp.,중견기업,mid,False,False
메타뷰,노진송,메타뷰,미분류,unknown,True,True
스코넥엔터테인먼트,노충현,스코넥엔터테인먼트,중소기업,sme,True,False
스튜디오 엠버스703 (MBUS703),노치욱 盧致煜 Chiwook Nho,스튜디오 엠버스703 (MBUS703),미분류,unknown,True,True
네오컨버전스,류내원,네오컨버전스,미분류,unknown,True,True
벤처스퀘어,명승은,VENTURE SQUARE,미분류,unknown,True,True
대진대학교,문수지,대진대학교,대학/연구기관,academic,False,False
플레이파크,박건웅,플레이파크,소기업,small,True,False
(재)전남정보문화산업진흥원,박근아,(재)전남정보문화산업진흥원,협회/공공기관,association,False,False
와이엠엑스,박근영,와이엠엑스,미분류,unknown,True,True
세계미디어,박동선,세계미디어,미분류,unknown,True,True
두리번,박두환,DOORIBUN,소기업,small,True,False
데이터킹,박선규,DATAKING,미분류,unknown,True,True
다이브엑스알,박선영,DIVEXR,미분류,unknown,True,True
KT이엔지코어,박성배,kt engcore,미분류,unknown,True,True
에이치엔아이엑스,박성우,HNIX,미분류,unknown,True,True
페어엑스,박세안,페어엑스,미분류,unknown,True,True
루디벨,박인혜,루디벨,미분류,unknown,True,True
유니티테크놀로지스코리아(유),박중현,유니티테크놀로지스코리아(유),중견기업,mid,False,False
리앤팍스,박지호,리앤팍스,미분류,unknown,True,True
에이아이파크,박철민,에이아이파크,미분류,unknown,True,True
이솔정보통신,박평호,이솔정보통신,미분류,unknown,True,True
아이피버스,박희석,아이피버스,미분류,unknown,True,True
비빔블,방준영,BIBIMBLE,미분류,unknown,True,True
에이치오 엔터테인먼트,백성실,에이치오 엔터테인먼트,미분류,unknown,True,True
HTC,백승배,HTC,대기업,large,False,False
빅토리아프로덕션,빅토리아 한,빅토리아프로덕션,미분류,unknown,True,True
칸,서국한,칸,미분류,unknown,True,True
삼성전자,서영근,삼성전자,대기업,large,False,False
드림브이알,서영수,드림브이알,미분류,unknown,True,True
베스트텍,서우승,베스트텍,미분류,unknown,True,True
유디포엠,서정협,유디포엠,미분류,unknown,True,True
에스아이오티인포텍,서형준,에스아이오티인포텍,미분류,unknown,True,True
딥다이버스,성기봉,딥다이버스,미분류,unknown,True,True
이노시뮬레이션,성인제,이노시뮬레이션,중소기업,sme,True,False
스튜디오쇼,성지환,STUDIO SHOH ENTERTAINMENT,미분류,unknown,True,True
슈퍼브이알,송민철,SUPER VR,중소기업,sme,True,False
홍익과학기술,송영남,홍익과학기술,미분류,unknown,True,True
삼우이머션,송영진,삼우이머션,미분류,unknown,True,True
코드리치,송진우,CODEREACH,미분류,unknown,True,True
디티,신원호,DT,미분류,unknown,True,True
에이아이콘,신준우,AICON,미분류,unknown,True,True
한국항공우주산업,안정일,한국항공우주산업,대기업,large,False,False
펄스나인,양병석,Caretive / Pulse9,소기업,small,True,False
원유니버스,양보근,원유니버스,미분류,unknown,True,True
시공테크,양성준,시공테크,미분류,unknown,True,True
에어에이알,오성훈,에어에이알,미분류,unknown,True,True
지캠,오세광,Gcam,미분류,unknown,True,True
이퀄소울,오제욱,EQUAL SOUL,미분류,unknown,True,True
디오비스튜디오,우성천,디오비스튜디오,미분류,unknown,True,True
한국과학기술원,우운택,한국과학기술원,대학/연구기관,academic,False,False
크리에이터버스,유승우,크리에이터버스,미분류,unknown,True,True
맘모식스,유철호,맘모식스,미분류,unknown,True,True
엔피니티세븐,윤승훈,NFINITY 7,미분류,unknown,True,True
제이원스페이스,윤영철,제이원스페이스,미분류,unknown,True,True
쓰리디타다,윤현모,쓰리디타다,미분류,unknown,True,True
